,Angle,Dc,Dj,Q,lambda
0,33.5,4,0.84,1.25,"[0.0, 0.6728572012317776, 1.640089428002458, 2.9157145386710366, 4.836161133853402, 7.948125689550373]"
1,80.0,8,0.61,0.7,"[0.0, 0.308682975519885, 0.9160914112203038, 1.9715880371915235, 3.116702301216903]"
2,33.5,6,0.84,1.5,"[0.0, 1.3981358189081226, 2.348868175765646, 4.306258322237017, 6.7762982689747, 9.031957390146472, 10.970705725699068]"
4,33.5,8,1.2,2.25,"[0.0, 1.3499474511652452, 2.9028281793030435, 5.170386969822442]"
5,33.5,8,0.84,1.0,"[0.0, 1.3344103764056308, 2.913916536232704]"
6,90.0,8,0.61,0.65,"[0.0, 0.35641453258549693, 1.4571064714524729, 2.9142129429049457, 5.639735839146981]"
7,55.0,8,0.61,0.7,"[0.0, 0.7824903775686304, 1.765152712189701, 3.3847258192503547, 5.004298926311008]"
8,33.5,8,0.61,0.8,"[0.0, 1.2267709264696147, 2.5650664826182856, 4.447044608452353, 6.356903891706186, 9.089257318843055, 12.797451255671664]"
9,33.5,10,0.84,1.5,"[0.0, 1.211942707867667, 2.979738838140805, 5.594983628802613]"
10,33.5,6,0.61,1.25,"[0.0, 1.3213971547299885, 2.6259612246863466, 4.755346448550595]"
11,33.5,10,0.84,2.0,"[0.0, 1.5310306755467915, 4.274127302568126, 7.837418934346671]"
12,33.5,8,1.2,1.75,"[0.0, 1.8398400795727667, 3.981939600789631, 7.543344326248344]"
13,33.5,8,0.84,1.4,"[0.0, 1.4733334245072955, 2.955650589407928, 5.030894620268814]"
14,33.5,4,1.2,1.0,"[0.0, 1.1043292699854315, 2.7043023855548753, 4.260797970809932, 6.843363271484524]"
15,33.5,6,0.84,2.0,"[0.0, 1.3756082143051895, 3.2471840160809577, 6.934188345579221, 10.153298724633542, 11.463401785876579]"
18,33.5,4,0.84,1.5,"[0.0, 0.43253266813688135, 0.9627340032724133, 1.576651338692503, 2.1905686741125927, 3.0974920105286343, 4.953196683502997, 8.622748029309442]"
19,33.5,4,0.61,0.7,"[0.0, 0.8985233654019446, 1.7825544184586963, 2.8260009073125674, 4.217262892451062, 5.89837112449341]"
20,80.0,8,0.61,1.0,"[0.0, 0.24383833764068313, 0.6773287156685642, 1.4630300258440987, 3.603388767356762]"
21,33.5,8,0.61,0.9,"[0.0, 0.8805358623148783, 2.086192658407558, 3.6982506217224893, 5.594789402092997]"
22,90.0,8,0.61,0.8,"[0.0, 0.1384910414420823, 0.4367794383942596, 1.8216898528150827, 4.793920665302849]"
23,33.5,6,1.2,1.75,"[0.0, 1.6866113489951822, 3.215102884022066, 5.314582636156694, 8.52090108606941, 12.192794543777671]"
24,80.0,8,0.61,0.6,"[0.0, 0.40963462094685743, 1.2289038628405724, 3.37698785073263]"
26,33.5,6,0.84,1.0,"[0.0, 0.7564632656104062, 2.0874555937097288, 3.9163731092994447, 6.0612816092580655, 8.570058515459666]"
27,33.5,10,1.2,2.25,"[0.0, 1.8894351818624546, 4.111770848148294, 7.278824105365361, 10.994713296361521]"
28,65.0,8,0.61,0.6,"[0.0, 0.5510615347417102, 1.5843019123824165, 2.8537115191981415, 4.664342276206618]"
29,33.5,4,0.61,0.6,"[0.0, 0.7434402332361516, 1.6326530612244898, 2.7259475218658893, 4.02332361516035, 5.3790087463556855, 7.011661807580175, 8.848396501457726, 10.947521865889213]"
30,33.5,10,0.84,1.0,"[0.0, 1.788135547427188, 4.2265022030097175]"
31,33.5,6,0.61,0.75,"[0.0, 0.8540410132689988, 2.1278648974668277, 3.7056694813027744, 6.13751507840772]"
32,33.5,4,1.2,2.0,"[0.0, 1.040806374031462, 2.0903590201136084, 3.734658165642305, 5.956211266516182, 8.099047918933898, 10.591735453378996, 13.145646892178886]"
33,33.5,4,0.61,0.5,"[0.0, 0.7788301524048372, 1.5288147436094952, 2.221108212413795, 2.8124422170174674, 3.4758901246215883, 4.572021450228396]"
34,33.5,4,1.2,1.75,"[0.0, 0.9519650655021834, 2.1397379912663754, 3.650655021834061, 5.860262008733624, 8.672489082969433]"
35,33.5,6,1.2,1.0,"[0.0, 1.50218170249447, 3.4260284442856332]"
36,33.5,10,0.61,1.0,"[0.0, 1.8881688062048985, 3.6446049050001528, 6.747642012871769]"
37,33.5,4,1.2,1.5,"[0.0, 1.250728862973761, 2.807580174927114, 4.714285714285714, 7.338192419825073]"
38,33.5,6,0.61,0.6,"[0.0, 1.4152557264467605, 2.3490327005972005, 4.391669831551288, 6.5072582886108785]"
39,65.0,8,0.61,0.8,"[0.0, 0.7460674157303372, 1.4382022471910112]"
40,33.5,4,0.61,0.9,"[0.0, 1.234136102211073, 2.126032781119916, 3.1112674845657304, 4.95728619207473, 7.4981546378034105]"
41,33.5,10,1.2,2.5,"[0.0, 1.4383584694028189, 3.2065316196878126, 6.238994380021144, 9.665402453630406]"
42,33.5,4,0.61,0.75,"[0.0, 0.7076668287989436, 1.5194023088918496, 3.0179908875249066, 5.650927765262153]"
43,80.0,8,0.61,0.75,"[0.0, 0.2670903741684759, 0.6133186369794632, 1.7311413140549363, 2.7599338664075845]"
44,33.5,8,0.84,1.25,"[0.0, 0.8308508604207137, 2.1132511015048587, 4.587741707540462, 8.010486012969272]"
45,33.5,8,1.2,2.0,"[0.0, 1.2139622246292272, 2.65499652005241, 4.53270787469474]"
46,33.5,6,0.61,0.7,"[0.0, 1.264076050720042, 2.298320092218258, 4.122611665416501, 5.702706728816553, 8.503784341207554]"
47,33.5,8,0.61,0.7,"[0.0, 0.7915903209731899, 2.083132423613658, 3.457999823198672, 5.430031850886268]"
48,90.0,8,0.61,0.6,"[0.0, 0.252575612712976, 0.8313947251802126, 1.452309773099612]"
49,33.5,4,0.61,0.4,"[0.0, 0.759337950180228, 1.761664044418129]"
50,33.5,4,0.61,1.0,"[0.0, 0.9485845014454812, 2.000920432736562, 3.794338005781925, 6.729021307128883]"
51,80.0,8,0.61,0.8,"[0.0, 0.3784102063087303, 1.0854398023066212, 2.648871444161112, 5.347533704941794]"
52,33.5,10,1.2,2.0,"[0.0, 1.6011602156335782, 3.4991647409070894, 6.665504043733042]"
54,33.5,6,0.84,1.25,"[0.0, 1.1191384567633815, 2.427961397723946, 4.723143656509865, 8.099527475219727]"
55,33.5,4,0.84,1.1,"[0.0, 0.7101301962637644, 1.6956169992420498, 2.826028332070083, 4.579615143252032]"
56,33.5,6,1.2,2.0,"[0.0, 0.8034628078226146, 2.803386535989775, 5.781438899767075, 12.043208825949842]"
57,90.0,8,0.61,0.7,"[0.0, 0.13635342640874937, 0.3880828290095174, 1.0383837857281681]"
58,33.5,4,0.84,1.0,"[0.0, 0.8591033833638969, 1.8167924008843066, 3.0843219828966135, 5.013783679959792]"
59,33.5,6,1.2,1.5,"[0.0, 1.0190238449670088, 2.5826983656922464, 4.708592938813076, 8.53871704575804, 12.685089932175524]"
60,33.5,10,0.84,1.45,"[0.0, 1.277799841303424, 3.063094655039414, 5.074949724325656, 7.703048688708584]"
61,33.5,10,1.2,2.4,"[0.0, 2.1296534017971758, 4.564826700898588, 7.413350449293967, 10.989730423620026]"
62,33.5,6,0.61,2.0,"[0.0, 1.3804474170236545, 2.9544941669225775]"
63,33.5,6,0.61,1.5,"[0.0, 1.1505510416235598, 2.3941613586725548, 4.602204166494239, 7.241703614924759, 13.129817769115919]"
