Embout,Dc,Angle,Q_off,Q_on
R,8,21,,1
R,8,21,1.2,
R,8,21,1.4,
R,8,21,,0.5
R,8,21,,0.6
R,8,21,,0.8
R,8,21,,0.9
R,8,21,1.5,
R,8,21,1.3,
R,8,26.5,,1
R,8,26.5,1.2,
R,8,26.5,1.1,
R,8,65,1,
R,8,65,0.8,
R,8,65,,0.6
R,8,65,,0.7
R,8,65,0.7,
R,8,65,,0.5
R,8,65,1.2,
R,8,90,1,
R,8,90,0.8,
R,8,90,,0.6
R,8,90,0.7,
R,8,90,0.65,
R,8,55,1,
R,8,55,0.8,
R,8,55,,0.7
R,8,55,,0.75
R,8,80,1,
R,8,80,0.8,
R,8,80,,0.6
R,8,80,,0.65
R,8,80,0.7,
R,8,80,0.75,
R,8,133,1,
R,8,133,0.8,
R,8,133,,0.6
R,8,133,0.7,
R,8,133,,0.65
R,8,143,1,
R,8,143,,0.8
R,8,143,0.9,0.9
R,8,143,0.95,
R,8,152,,1
R,8,152,1.2,
R,8,152,1.1,1.1
R,8,104,1,
R,8,104,0.8,
R,8,104,1.2,
R,8,104,,0.6
R,8,104,,0.5
R,8,104,0.7,
R,8,112,0.7,
R,8,112,,0.6
R,8,112,0.65,
R,8,33,0.85,
R,8,33,,0.82
R,8,52,,0.6
R,8,52,0.8,
R,8,52,,0.7